instrument,harmo1,harmo2,harmo3
trumpet,-5.785,-18.607,-22.975
oboe,1.083,8.95,-6.018
oboe,10.105,10.47,11.274
flute,-16.495,-24.861,-22.327
oboe,7.044,9.43,15.001
oboe,4.956,17.563,17.15
trumpet,-6.38,-18.738,-11.44
oboe,7.379,11.116,15.094
trumpet,-10.227,-17.992,-24.45
oboe,0.099,8.691,-2.421
oboe,6.618,9.672,14.052
oboe,13.852,15.091,7.379
trumpet,-6.982,-25.182,-22.868
trumpet,-4.216,-17.968,-15.402
oboe,7.32,8.688,13.0
oboe,-6.863,6.888,0.393
oboe,-10.612,7.504,0.222
oboe,9.371,9.892,10.666
trumpet,-4.695,-13.237,-20.461
trumpet,-9.828,-13.673,-25.707
flute,-21.168,-24.282,-24.115
trumpet,-15.966,-19.001,-25.323
trumpet,-9.891,-18.627,-17.417
oboe,14.659,16.513,9.966
oboe,6.417,11.863,16.775
trumpet,-4.258,-24.912,-20.53
flute,-19.421,-21.475,-19.894
trumpet,-10.549,-16.636,-22.477
flute,-16.309,-17.072,-19.548
trumpet,-9.991,-15.519,-20.442
flute,-19.006,-18.501,-23.694
oboe,4.201,12.346,2.106
flute,-20.925,-16.291,-24.416
oboe,0.631,9.002,-3.949
flute,-20.255,-25.937,-23.324
oboe,13.598,18.378,10.15
oboe,14.665,16.906,11.112
flute,-14.514,-15.239,-21.019
trumpet,-12.203,-15.963,-24.756
oboe,7.36,7.038,14.205
oboe,3.758,12.101,1.423
oboe,10.45,10.787,11.676
trumpet,-4.495,-22.39,-20.904
flute,-18.231,-15.466,-22.877
flute,-22.112,-12.91,-20.979
trumpet,-2.98,-15.94,-17.288
oboe,3.481,12.654,4.326
oboe,13.624,11.412,7.093
oboe,5.59,10.495,14.78
trumpet,-3.98,-18.796,-25.139
oboe,8.565,10.744,10.427
trumpet,-7.486,-22.793,-26.017
oboe,13.337,9.837,6.178
trumpet,-5.049,-16.183,-24.915
oboe,12.03,18.082,12.195
flute,-17.854,-17.372,-24.28
trumpet,-6.646,-18.453,-16.01
flute,-21.924,-16.509,-24.827
trumpet,-3.76,-24.503,-22.784
oboe,14.589,18.626,13.057
oboe,1.331,8.737,-2.1
oboe,0.845,8.991,-12.457
oboe,15.172,10.05,22.551
oboe,6.443,9.344,1.968
oboe,9.848,8.379,-2.702
oboe,12.111,11.174,10.216
trumpet,-13.081,-6.648,-25.983
trumpet,-9.464,-9.422,-18.46
trumpet,-3.69,-20.728,-19.246
oboe,6.051,10.293,1.609
oboe,6.724,13.868,17.721
flute,-20.652,-17.579,-25.473
trumpet,-4.881,-20.17,-20.124
trumpet,-6.537,-17.99,-19.274
flute,-19.229,-21.581,-25.505
flute,-14.35,-20.964,-25.319
oboe,-7.335,8.696,-3.942
oboe,7.422,13.672,17.067
oboe,1.647,9.642,-8.886
trumpet,-7.147,-6.417,-25.337
oboe,14.228,14.583,6.472
trumpet,-4.991,-23.393,-21.295
oboe,4.396,8.75,14.314
oboe,-1.033,8.787,-9.461
flute,-14.854,-16.935,-23.725
oboe,13.611,12.929,3.139
oboe,10.54,9.91,6.978
trumpet,-5.968,-24.703,-20.917
oboe,12.116,15.347,11.396
oboe,-3.713,4.997,5.807
oboe,-0.903,9.242,-5.796
trumpet,-3.126,-13.542,-18.462
oboe,-2.345,3.857,7.834
flute,-19.006,-18.683,-19.127
oboe,6.252,11.644,8.002
trumpet,-5.514,-11.245,-25.403
flute,-16.093,-17.305,-22.365
oboe,14.622,14.897,8.198
trumpet,-6.888,-21.563,-23.279
oboe,6.81,10.565,14.063
trumpet,-17.816,-17.646,-25.75
oboe,14.362,18.221,13.066
trumpet,-9.2,-18.332,-18.007
flute,-19.531,-20.373,-23.478
oboe,18.86,24.331,14.219
oboe,14.173,15.526,6.976
oboe,11.984,10.853,6.776
trumpet,-4.375,-20.058,-22.078
oboe,-5.13,7.769,-8.607
oboe,7.439,10.951,13.954
oboe,7.39,5.962,13.16
trumpet,-6.734,-21.08,-20.679
flute,-16.859,-18.484,-25.51
oboe,4.159,12.551,1.953
trumpet,-4.872,-17.724,-17.017
oboe,7.41,13.088,17.051
oboe,-4.818,6.865,1.321
trumpet,-4.546,-15.326,-22.891
oboe,12.801,21.33,11.973
trumpet,-5.481,-10.053,-24.487
flute,-17.967,-20.824,-22.501
flute,-20.155,-20.051,-20.834
trumpet,-4.266,-14.149,-17.157
oboe,13.441,17.432,12.143
oboe,6.138,10.99,14.779
oboe,7.555,2.447,6.289
oboe,14.178,13.209,7.62
oboe,9.457,10.324,11.032
oboe,14.031,10.965,4.768
flute,-22.266,-18.411,-23.456
flute,-14.706,-14.577,-20.933
oboe,14.147,13.598,5.322
trumpet,-6.258,-20.294,-19.598
oboe,6.182,11.756,10.558
flute,-17.039,-17.496,-24.374
trumpet,-7.926,-13.603,-19.474
trumpet,-6.555,-13.858,-25.962
oboe,6.746,12.98,15.401
oboe,7.439,12.275,17.005
oboe,16.326,10.167,23.434
oboe,-3.088,1.798,14.581
oboe,0.385,7.341,4.151
trumpet,-5.629,-20.853,-20.197
trumpet,-7.76,-3.779,-18.444
trumpet,-7.348,-20.333,-25.309
trumpet,-7.057,-17.171,-19.981
flute,-13.777,-19.222,-25.304
trumpet,-11.41,-21.486,-22.919
oboe,13.583,10.996,5.283
oboe,6.966,10.236,13.769
oboe,7.667,10.693,7.264
trumpet,-4.396,-20.162,-22.984
flute,-20.98,-18.1,-24.885
oboe,3.135,7.463,4.346
oboe,-4.026,2.402,14.719
oboe,4.611,8.934,2.401
oboe,7.089,13.853,16.861
oboe,4.164,16.494,16.653
oboe,3.632,12.488,2.198
oboe,8.054,2.219,10.58
trumpet,-11.435,-15.925,-20.488
oboe,4.836,11.895,6.709
flute,-21.761,-18.302,-19.966
oboe,-1.972,5.669,8.166
trumpet,-3.604,-15.231,-16.117
flute,-21.711,-19.272,-24.93
oboe,-0.12,6.378,6.495
trumpet,-5.451,-22.503,-19.984
oboe,7.371,13.068,19.518
flute,-22.07,-15.533,-25.325
trumpet,-3.177,-24.393,-17.818
oboe,7.301,12.235,10.344
oboe,12.988,14.837,10.892
oboe,11.115,10.825,9.918
oboe,9.458,8.755,-0.727
oboe,6.643,13.299,18.267
flute,-22.985,-19.522,-20.31
oboe,14.011,17.239,11.642
oboe,6.799,12.298,17.059
oboe,12.664,10.901,3.983
oboe,1.283,12.37,1.495
flute,-15.386,-15.194,-23.186
oboe,6.456,13.158,18.153
oboe,3.08,8.685,-5.16
oboe,6.545,12.337,17.425
oboe,12.355,9.667,6.803
flute,-21.7,-21.049,-21.881
trumpet,-6.238,-18.231,-21.628
oboe,6.717,5.789,13.677
flute,-15.798,-17.408,-24.862
oboe,7.045,6.498,14.333
oboe,13.343,11.411,3.499
trumpet,-4.702,-24.574,-21.82
oboe,-7.526,10.997,-0.787
oboe,9.635,10.754,12.086
flute,-20.043,-16.184,-24.378
oboe,-0.756,5.234,6.745
oboe,-1.186,9.588,-1.339
trumpet,-3.952,-13.154,-18.322
oboe,6.876,12.765,19.087
oboe,13.072,9.859,5.63
trumpet,-8.354,-15.876,-19.527
oboe,11.695,9.605,5.707
trumpet,-4.671,-21.932,-21.522
oboe,14.003,13.043,5.417
oboe,9.275,10.391,1.392
flute,-17.714,-19.578,-22.137
flute,-17.472,-16.498,-18.992
oboe,-2.174,9.414,-3.71
oboe,12.842,15.696,11.578
trumpet,-12.334,-15.119,-21.454
oboe,13.554,13.15,2.617
oboe,6.863,9.799,13.134
oboe,8.661,10.73,11.462
oboe,14.015,23.17,10.612
trumpet,-7.794,-16.076,-19.785
oboe,0.184,9.449,-0.85
flute,-18.768,-25.004,-24.262
flute,-18.054,-18.131,-24.419
oboe,13.828,11.595,6.569
trumpet,-5.593,-13.718,-23.123
trumpet,-3.803,-21.189,-20.371
oboe,14.227,18.388,13.327
flute,-18.76,-19.32,-24.389
oboe,7.982,10.726,9.074
oboe,12.565,14.758,10.639
flute,-16.848,-19.338,-25.69
oboe,12.434,18.14,12.49
trumpet,-8.746,-20.502,-17.089
oboe,1.311,12.327,0.5
trumpet,-3.809,-21.719,-20.131
trumpet,-3.935,-19.084,-21.61
oboe,14.202,13.126,3.692
flute,-17.045,-16.375,-23.669
trumpet,-7.403,-19.448,-18.819
trumpet,-4.676,-20.941,-21.493
trumpet,-5.866,-16.811,-18.83
oboe,10.674,9.18,5.469
oboe,7.325,6.555,14.762
oboe,7.689,2.767,13.791
flute,-25.629,-17.281,-21.591
oboe,13.434,12.65,4.257
oboe,7.945,11.24,17.035
trumpet,-4.377,-19.48,-25.216
trumpet,-7.477,-18.953,-18.941
trumpet,-2.907,-16.877,-18.77
oboe,7.077,10.289,13.359
flute,-18.814,-25.838,-20.951
trumpet,-8.521,-17.362,-16.776
oboe,14.099,12.169,6.092
oboe,1.972,8.744,-2.145
oboe,7.139,10.068,14.298
oboe,12.246,19.819,12.356
oboe,9.416,9.878,10.133
trumpet,-7.89,-19.211,-22.427
oboe,-6.876,2.302,14.217
oboe,6.248,11.203,10.222
oboe,14.588,12.263,8.242
flute,-16.934,-14.749,-21.352
flute,-18.014,-23.876,-20.086
oboe,5.335,9.347,-1.671
oboe,6.669,12.717,18.865
trumpet,-3.757,-23.205,-17.178
flute,-17.062,-14.333,-24.313
trumpet,-9.238,-16.967,-21.783
trumpet,-5.411,-22.557,-20.601
trumpet,-20.911,-15.867,-20.613
oboe,2.573,9.088,-5.41
trumpet,-7.265,-16.956,-20.736
trumpet,-9.019,-17.13,-25.608
oboe,4.647,16.762,17.791
flute,-17.231,-17.976,-25.05
oboe,6.633,10.861,13.973
flute,-15.169,-25.91,-20.296
oboe,6.993,12.396,16.099
oboe,8.487,11.457,11.702
oboe,7.949,10.089,10.796
trumpet,-4.897,-23.651,-18.844
flute,-21.37,-17.681,-25.076
trumpet,-5.087,-15.094,-25.415
oboe,7.373,9.095,12.983
oboe,9.433,14.662,20.336
